Filme,Realizador,Duração,Género,Ano lançamento,Rating
filme25605,realizador2,165 min,LGBTQ Movies,1971,2
filme106763,realizador18,237 min,Anime Features,2010,1
filme66999,realizador18,71 min,Romantic Movies,1961,2
filme120233,realizador5,118 min,Sports Movies,2002,3
filme113993,realizador12,141 min,Dramas,1979,3
filme37800,realizador16,184 min,Children & Family Movies,1995,2
filme30019,realizador6,50 min,Dramas,1991,2
filme129286,realizador13,231 min,Romantic Movies,1998,5
filme28258,realizador5,87 min,Movies,2003,1
filme34758,realizador13,68 min,Stand-Up Comedy,1988,4
filme20303,realizador6,91 min,Romantic Movies,1994,3
filme70086,realizador16,90 min,Sci-Fi & Fantasy,2023,4
filme117816,realizador13,200 min,Children & Family Movies,2020,5
filme9211,realizador12,158 min,Action & Adventure,1962,4
filme142713,realizador14,48 min,Comedies,2004,2
filme12896,realizador12,235 min,Movies,2023,5
filme64186,realizador11,209 min,Sports Movies,2009,3
filme107528,realizador8,196 min,Anime Features,2014,1
filme51756,realizador5,105 min,Documentaries,1960,2
filme58763,realizador14,213 min,Sci-Fi & Fantasy,1975,1
filme74235,realizador18,192 min,Dramas,1987,5
filme25379,realizador5,58 min,Sci-Fi & Fantasy,1996,1
filme31371,realizador2,182 min,Comedies,1969,3
filme105406,realizador12,117 min,Dramas,1974,2
filme23604,realizador2,93 min,Independent Movies,2010,2
filme87757,realizador6,100 min,Thrillers,1991,4
filme1366,realizador11,36 min,Dramas,2013,4
filme20526,realizador1,124 min,Action & Adventure,1982,5
filme118410,realizador1,57 min,Horror Movies,1982,4
filme151,realizador13,239 min,Romantic Movies,2017,5
filme35918,realizador4,103 min,Movies,2016,3
filme5479,realizador1,230 min,Anime Features,1980,4
filme104366,realizador12,237 min,Classic Movies,2020,2
filme110557,realizador8,149 min,Sci-Fi & Fantasy,2002,2
filme83653,realizador7,219 min,Thrillers,2019,2
filme6865,realizador17,108 min,Romantic Movies,1985,5
filme23933,realizador5,210 min,LGBTQ Movies,1981,5
filme3656,realizador2,163 min,Romantic Movies,1971,1
filme38531,realizador11,120 min,Sci-Fi & Fantasy,1980,1
filme18626,realizador8,39 min,Sports Movies,2008,2
filme29158,realizador18,74 min,Movies,2008,5
filme100304,realizador16,212 min,Action & Adventure,2009,4
filme11572,realizador11,199 min,Music & Musicals,1976,4
filme77351,realizador15,170 min,Sci-Fi & Fantasy,1966,4
