Filme,Realizador,Duração,Género,Ano lançamento,Rating
filme39499,realizador8,121 min,Independent Movies,2007,5
filme147652,realizador16,219 min,Music & Musicals,1963,3
filme22486,realizador7,52 min,Children & Family Movies,1984,5
filme15809,realizador3,184 min,Music & Musicals,2015,2
filme122229,realizador8,200 min,Sports Movies,1978,1
filme3606,realizador13,77 min,Children & Family Movies,1986,4
filme81679,realizador19,39 min,Music & Musicals,1969,4
filme43692,realizador6,51 min,Thrillers,1966,1
filme92608,realizador5,139 min,Anime Features,1972,4
filme56002,realizador2,163 min,Children & Family Movies,2019,2
filme32893,realizador4,117 min,Thrillers,1990,1
filme56916,realizador1,202 min,Thrillers,1969,5
filme147070,realizador18,158 min,Movies,1996,4
filme19437,realizador15,183 min,Dramas,1960,5
filme92198,realizador4,30 min,Classic Movies,2020,5
filme12553,realizador19,128 min,Anime Features,1997,5
filme7109,realizador13,178 min,Movies,2000,2
filme108440,realizador4,154 min,Comedies,1985,5
filme135137,realizador5,188 min,Dramas,1974,1
filme29105,realizador7,230 min,Romantic Movies,1980,2
filme76879,realizador16,31 min,Documentaries,2010,4
filme75312,realizador10,156 min,Action & Adventure,2011,5
filme73942,realizador13,73 min,Children & Family Movies,2010,5
filme33770,realizador17,230 min,Movies,1972,5
filme65584,realizador6,32 min,Romantic Movies,1961,5
filme84955,realizador18,128 min,Comedies,1978,2
filme41899,realizador3,95 min,Children & Family Movies,1990,1
filme44808,realizador15,77 min,Horror Movies,2001,4
filme130096,realizador16,131 min,Romantic Movies,2019,4
filme35434,realizador1,172 min,International Movies,1989,4
filme41798,realizador11,154 min,Cult Movies,1986,5
filme41797,realizador9,190 min,Thrillers,2019,4
filme112651,realizador15,227 min,Romantic Movies,2023,5
filme82093,realizador18,93 min,International Movies,1960,2
filme124741,realizador1,76 min,Children & Family Movies,2020,5
filme119654,realizador1,111 min,Anime Features,1990,1
filme79278,realizador2,210 min,Sports Movies,1980,2
filme102849,realizador12,206 min,Classic Movies,1960,2
filme114490,realizador13,71 min,Thrillers,1999,4
filme22629,realizador6,164 min,LGBTQ Movies,2000,3
filme3678,realizador10,199 min,Horror Movies,1966,3
filme20331,realizador9,48 min,Anime Features,2017,1
filme43865,realizador12,98 min,Sports Movies,2002,4
filme126703,realizador17,103 min,Sci-Fi & Fantasy,1962,1
filme20486,realizador3,232 min,Dramas,1983,5
filme2024,realizador1,180 min,Thrillers,2007,1
filme37522,realizador17,189 min,Sports Movies,1970,4
filme62628,realizador2,61 min,Children & Family Movies,2013,4
filme40788,realizador5,112 min,Music & Musicals,2010,1
filme27804,realizador18,127 min,Comedies,1974,3
filme134579,realizador14,112 min,Documentaries,1976,2
filme19190,realizador15,162 min,Movies,2011,5
filme24560,realizador6,210 min,Documentaries,1997,2
filme143818,realizador9,185 min,Stand-Up Comedy,1971,4
filme94257,realizador13,197 min,Anime Features,1976,4
filme416,realizador12,85 min,Documentaries,1963,1
filme68358,realizador6,231 min,Documentaries,1966,2
filme125078,realizador10,147 min,Movies,1977,2
filme27224,realizador14,43 min,Stand-Up Comedy,1995,4
filme39907,realizador4,103 min,Action & Adventure,1984,3
filme109991,realizador16,84 min,LGBTQ Movies,2017,2
filme15670,realizador11,70 min,Sports Movies,2020,3
filme139624,realizador18,184 min,Documentaries,1968,1
filme78332,realizador4,155 min,Romantic Movies,2005,2
filme63641,realizador17,142 min,Stand-Up Comedy,1965,2
filme59351,realizador16,88 min,Movies,1970,3
filme6234,realizador3,85 min,Horror Movies,1975,3
filme143484,realizador1,80 min,Comedies,1962,1
filme131128,realizador17,211 min,Movies,1961,2
filme91936,realizador1,234 min,Children & Family Movies,2002,3
filme73756,realizador12,188 min,Sci-Fi & Fantasy,1983,3
filme44782,realizador13,86 min,Horror Movies,2017,5
filme28262,realizador15,146 min,Stand-Up Comedy,2014,2
filme73480,realizador2,70 min,Classic Movies,1973,1
filme145379,realizador12,230 min,Horror Movies,1976,4
filme69058,realizador19,231 min,Music & Musicals,2017,1
filme56869,realizador7,104 min,Dramas,1968,5
filme98382,realizador6,238 min,Dramas,1980,1
filme57821,realizador2,105 min,Horror Movies,1972,4
filme9124,realizador5,158 min,Sci-Fi & Fantasy,1995,5
filme19203,realizador16,46 min,Comedies,2002,5
filme93529,realizador9,220 min,Sports Movies,2002,5
filme104978,realizador5,215 min,Classic Movies,1962,1
filme148146,realizador19,77 min,Horror Movies,1970,5
filme91833,realizador2,185 min,LGBTQ Movies,2008,3
filme26890,realizador15,132 min,Comedies,2023,1
filme13758,realizador10,131 min,Cult Movies,1976,3
filme70552,realizador7,167 min,Movies,1995,3
filme30131,realizador15,172 min,International Movies,1979,3
filme107017,realizador8,197 min,Stand-Up Comedy,1967,5
filme122215,realizador17,71 min,Horror Movies,2006,2
filme142458,realizador13,72 min,Independent Movies,1978,1
filme37525,realizador10,236 min,LGBTQ Movies,1986,3
filme134305,realizador14,111 min,Classic Movies,2010,4
filme10680,realizador19,176 min,International Movies,1995,5
filme126116,realizador12,183 min,Cult Movies,1994,3
filme62817,realizador16,37 min,LGBTQ Movies,1975,4
filme41210,realizador16,44 min,Music & Musicals,2021,3
filme133435,realizador12,105 min,Dramas,2023,5
filme84511,realizador3,37 min,Dramas,1968,5
filme65885,realizador7,192 min,Dramas,2003,5
filme28553,realizador18,183 min,Children & Family Movies,1998,2
filme107677,realizador12,164 min,Music & Musicals,1980,5
filme67644,realizador13,218 min,Music & Musicals,1969,5
filme112184,realizador5,169 min,Classic Movies,2023,4
filme100790,realizador15,98 min,International Movies,2002,4
filme13125,realizador19,149 min,Movies,1978,4
filme97205,realizador1,42 min,Documentaries,2023,4
filme39888,realizador10,69 min,Cult Movies,2005,4
filme51254,realizador7,228 min,Movies,1992,3
filme144802,realizador14,38 min,Dramas,2000,1
filme3216,realizador6,54 min,Thrillers,2003,3
filme27824,realizador18,120 min,Romantic Movies,2004,4
filme49372,realizador7,205 min,Anime Features,2014,5
filme77738,realizador2,46 min,Horror Movies,2010,3
filme117313,realizador15,84 min,Sci-Fi & Fantasy,1986,2
filme8326,realizador15,55 min,Romantic Movies,1998,4
filme81442,realizador5,108 min,Stand-Up Comedy,1990,5
filme90928,realizador15,96 min,Action & Adventure,1975,5
filme79888,realizador12,37 min,International Movies,2001,5
filme12950,realizador13,234 min,Comedies,2008,4
filme38543,realizador7,225 min,International Movies,2008,4
filme118667,realizador7,120 min,Dramas,2000,2
filme128726,realizador8,160 min,Independent Movies,1977,1
filme80283,realizador17,217 min,Movies,1963,1
filme47838,realizador7,223 min,International Movies,1994,5
filme70860,realizador1,136 min,Thrillers,1983,5
filme106398,realizador8,166 min,Sports Movies,2006,1
filme148048,realizador4,113 min,Romantic Movies,2022,1
filme52567,realizador4,228 min,Sci-Fi & Fantasy,1981,1
filme148347,realizador13,83 min,International Movies,2015,3
filme79311,realizador19,169 min,Anime Features,1963,1
filme114230,realizador19,66 min,Children & Family Movies,1998,5
filme119223,realizador17,58 min,Action & Adventure,2012,4
filme116636,realizador7,226 min,Music & Musicals,2005,1
filme69533,realizador12,228 min,Music & Musicals,2005,5
filme48924,realizador10,88 min,Documentaries,1966,2
filme126944,realizador12,202 min,Sci-Fi & Fantasy,2005,3
filme111927,realizador16,210 min,Comedies,2018,2
filme2446,realizador13,206 min,Dramas,1993,4
filme48393,realizador12,124 min,Comedies,1977,5
filme6850,realizador11,207 min,Stand-Up Comedy,1983,2
filme128137,realizador18,109 min,Action & Adventure,1984,4
filme132931,realizador10,70 min,Documentaries,1982,1
filme70517,realizador8,117 min,Horror Movies,1988,5
filme131648,realizador13,75 min,Sports Movies,2007,2
filme75916,realizador13,168 min,LGBTQ Movies,1987,5
filme72492,realizador15,124 min,Movies,1979,1
filme15544,realizador2,188 min,Movies,2017,2
filme39095,realizador18,136 min,Sports Movies,1968,3
filme132485,realizador16,203 min,Thrillers,2015,1
filme21598,realizador7,197 min,Children & Family Movies,1962,1
filme106303,realizador6,176 min,Thrillers,1966,4
filme49379,realizador16,182 min,Comedies,1995,4
filme88896,realizador1,140 min,Action & Adventure,1974,2
filme7521,realizador11,234 min,Horror Movies,1979,2
filme105899,realizador2,84 min,Cult Movies,1969,5
filme143346,realizador5,229 min,Thrillers,2011,3
filme13831,realizador11,190 min,Classic Movies,2008,4
filme111287,realizador7,182 min,LGBTQ Movies,1982,5
filme128456,realizador5,86 min,Action & Adventure,1998,5
filme96796,realizador17,58 min,Romantic Movies,1991,1
filme19196,realizador15,220 min,Dramas,2018,1
filme47921,realizador9,174 min,Music & Musicals,1989,5
filme35907,realizador5,88 min,Sci-Fi & Fantasy,2005,2
filme76591,realizador2,146 min,Action & Adventure,1980,3
filme10228,realizador13,188 min,Movies,1980,2
filme3386,realizador19,143 min,Anime Features,1962,2
filme105056,realizador2,120 min,Horror Movies,1977,3
filme60146,realizador1,101 min,Thrillers,2017,3
filme36552,realizador10,164 min,Dramas,2003,2
filme139933,realizador13,96 min,Independent Movies,2000,5
filme77940,realizador4,53 min,Romantic Movies,1997,3
filme81720,realizador11,225 min,Documentaries,2017,5
filme137982,realizador18,36 min,Independent Movies,1987,2
filme88072,realizador18,159 min,Cult Movies,2006,3
filme84159,realizador6,80 min,Independent Movies,2008,4
filme11772,realizador12,107 min,LGBTQ Movies,2007,4
filme64601,realizador9,123 min,LGBTQ Movies,2016,5
filme22214,realizador7,154 min,Romantic Movies,1968,2
filme107720,realizador5,229 min,Cult Movies,2021,2
filme94693,realizador16,183 min,Anime Features,1995,4
filme70765,realizador4,123 min,Documentaries,1984,2
filme124495,realizador1,239 min,LGBTQ Movies,1976,1
filme135395,realizador6,147 min,Dramas,2019,5
filme83048,realizador13,127 min,Children & Family Movies,2023,1
filme22590,realizador14,158 min,Sci-Fi & Fantasy,1962,1
filme84828,realizador17,223 min,Stand-Up Comedy,1988,4
filme125447,realizador15,214 min,International Movies,2018,2
filme67290,realizador15,80 min,Stand-Up Comedy,2016,1
filme6998,realizador9,214 min,Romantic Movies,1970,3
filme50616,realizador11,35 min,Comedies,2018,5
filme76625,realizador12,140 min,Anime Features,2002,4
filme125134,realizador14,148 min,Documentaries,1994,2
filme36014,realizador7,195 min,Stand-Up Comedy,2002,1
filme40944,realizador2,237 min,Sports Movies,2005,2
filme108547,realizador8,140 min,Stand-Up Comedy,2011,3
filme58983,realizador16,50 min,Action & Adventure,2022,5
filme110167,realizador14,151 min,Music & Musicals,2007,1
filme73771,realizador16,48 min,Music & Musicals,2011,3
filme103400,realizador2,95 min,Comedies,1983,4
filme8620,realizador8,39 min,Dramas,1977,1
filme113773,realizador13,63 min,LGBTQ Movies,1980,4
filme4738,realizador3,76 min,Romantic Movies,1979,5
filme114892,realizador10,89 min,Music & Musicals,2008,3
filme119275,realizador19,120 min,Anime Features,1979,3
filme73714,realizador13,110 min,Romantic Movies,2013,1
