Filme,Realizador,Ano lancamento,Rating,Duracao,Genero
Dick Johnson Is Dead,Kirsten Johnson,2020,4,90 min,Documentaries
My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",2021,1,91 min,Children & Family Movies
Sankofa,Haile Gerima,1993,3,125 min,Dramas
The Starling,Theodore Melfi,2021,1,104 min,Comedies
Je Suis Karl,Christian Schwochow,2021,4,127 min,Dramas
Confessions of an Invisible Girl,Bruno Garotti,2021,4,91 min,Children & Family Movies
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",2020,1,67 min,Documentaries
Intrusion,Adam Salky,2021,4,94 min,Thrillers
Avvai Shanmughi,K.S. Ravikumar,1996,4,161 min,Comedies
Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",2021,4,61 min,Children & Family Movies
Jeans,S. Shankar,1998,4,166 min,Comedies
Minsara Kanavu,Rajiv Menon,1997,5,147 min,Comedies
Grown Ups,Dennis Dugan,2010,2,103 min,Comedies
Dark Skies,Scott Stewart,2013,3,97 min,Horror Movies
Paranoia,Robert Luketic,2013,2,106 min,Thrillers
Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",2021,4,111 min,Dramas
The Father Who Moves Mountains,Daniel Sandu,2021,1,110 min,Dramas
The Stronghold,Cédric Jimenez,2021,2,105 min,Action & Adventure
Birth of the Dragon,George Nolfi,2017,5,96 min,Action & Adventure
Jaws,Steven Spielberg,1975,2,124 min,Action & Adventure
Jaws 2,Jeannot Szwarc,1978,3,116 min,Dramas
Jaws 3,Joe Alves,1983,1,98 min,Action & Adventure
Jaws: The Revenge,Joseph Sargent,1987,2,91 min,Action & Adventure
My Heroes Were Cowboys,Tyler Greco,2021,2,23 min,Documentaries
Safe House,Daniel Espinosa,2012,4,115 min,Action & Adventure
Training Day,Antoine Fuqua,2001,5,122 min,Dramas
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,2002,4,99 min,Action & Adventure
InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,2003,4,99 min,Action & Adventure
InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,2004,2,88 min,Action & Adventure
InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,2001,1,100 min,Action & Adventure
Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,2011,4,102 min,Action & Adventure
